key	high	low
708	255	255
709	255	255
710	255	255
711	255	255
712	255	255
713	255	255
714	255	255
715	255	255
716	255	255
717	29	25
718	255	255
719	255	255
720	255	255
721	255	255
722	16	15
723	255	255
724	255	255
725	255	255
726	255	255
727	255	255
728	255	255
729	255	255
730	255	255
731	255	255
732	255	255
733	255	255
734	255	255
735	255	255
736	255	255
737	255	255
738	255	255
739	255	255
740	255	255
741	36	20
742	255	255
743	255	255
744	255	255
745	255	255
746	255	255
747	255	255
748	255	255
749	255	255
750	255	255
751	255	255
752	255	255
753	255	255
754	255	255
755	31	22
756	38	16
757	255	255
758	255	255
759	255	255
760	255	255
761	255	255
762	255	255
763	25	24
764	255	255
765	255	255
766	255	255
767	255	255
768	9	8
769	18	1
770	18	0
771	18	255
772	255	255
773	255	255
774	36	16
775	18	2
776	255	255
777	255	255
778	255	255
779	18	3
780	255	255
781	255	255
782	255	255
783	37	27
784	255	255
785	255	255
786	25	6
787	18	4
788	255	255
789	12	7
790	255	255
791	38	20
792	255	255
793	255	255
794	255	255
795	255	255
796	27	14
797	39	35
798	30	5
799	255	255
800	255	255
801	255	255
802	255	255
803	18	5
804	255	255
805	255	255
806	255	255
807	255	255
808	255	255
809	255	255
810	13	10
811	255	255
812	255	255
813	255	255
814	30	4
815	255	255
816	255	255
817	20	15
818	255	255
819	41	8
820	255	255
821	255	255
822	30	3
823	255	255
824	255	255
825	42	34
826	30	2
827	255	255
828	30	1
829	255	255
830	30	255
831	30	0
832	255	255
833	43	21
834	25	4
835	18	6
836	255	255
837	255	255
838	255	255
839	255	255
840	255	255
841	255	255
842	39	36
843	255	255
844	42	13
845	255	255
846	255	255
847	255	255
848	25	1
849	35	16
850	25	255
851	25	0
852	255	255
853	255	255
854	25	2
855	255	255
856	255	255
857	255	255
858	25	3
859	255	255
860	255	255
861	255	255
862	40	21
863	34	10
864	33	28
865	255	255
866	255	255
867	255	255
868	255	255
869	255	255
870	255	255
871	255	255
872	255	255
873	255	255
874	255	255
875	255	255
876	255	255
877	255	255
878	255	255
879	255	255
880	255	255
881	255	255
882	25	5
883	255	255
884	255	255
885	255	255
886	255	255
887	255	255
888	255	255
889	255	255
890	255	255
891	33	23
892	255	255
893	255	255
894	30	6
895	255	255
896	255	255
897	255	255
898	255	255
899	18	7
900	255	255
901	12	4
902	255	255
903	255	255
904	255	255
905	255	255
906	255	255
907	255	255
908	255	255
909	21	11
910	255	255
911	255	255
912	255	255
913	12	2
914	255	255
915	255	255
916	12	0
917	12	255
918	255	255
919	12	1
920	255	255
921	255	255
922	41	24
923	255	255
924	255	255
925	12	3
926	255	255
927	29	9
928	255	255
929	36	27
930	255	255
931	255	255
932	255	255
933	22	13
934	255	255
935	255	255
936	37	16
937	24	9
938	255	255
939	255	255
940	41	29
941	255	255
942	255	255
943	255	255
944	255	255
945	255	255
946	255	255
947	255	255
948	255	255
949	12	5
950	255	255
951	255	255
952	255	255
953	255	255
954	255	255
955	16	14
956	255	255
957	255	255
958	30	7
959	255	255
960	255	255
961	255	255
962	255	255
963	255	255
964	255	255
965	32	15
966	21	17
967	255	255
968	255	255
969	255	255
970	255	255
971	255	255
972	255	255
973	255	255
974	255	255
975	255	255
976	34	22
977	255	255
978	25	7
979	255	255
980	255	255
981	12	6
982	255	255
983	255	255
984	255	255
985	255	255
986	255	255
987	255	255
988	255	255
989	255	255
990	255	255
991	255	255
992	255	255
993	255	255
994	255	255
995	38	32
996	39	37
997	255	255
998	255	255
999	255	255
1000	255	255
1001	255	255
1002	255	255
1003	255	255
1004	255	255
1005	255	255
1006	255	255
1007	255	255
1008	255	255
1009	255	255
1010	255	255
1011	255	255
1012	255	255
1013	255	255
1014	35	27
1015	39	14
1016	255	255
1017	255	255
1018	255	255
1019	255	255
1020	255	255
1021	255	255
1022	255	255
1023	255	255
1024	10	255
1025	10	0
1026	10	1
1027	255	255
1028	10	2
1029	255	255
1030	19	9
1031	255	255
1032	10	3
1033	255	255
1034	255	255
1035	255	255
1036	20	11
1037	34	25
1038	255	255
1039	22	7
1040	10	4
1041	255	255
1042	255	255
1043	255	255
1044	30	13
1045	255	255
1046	255	255
1047	255	255
1048	255	255
1049	255	255
1050	255	255
1051	255	255
1052	255	255
1053	255	255
1054	255	255
1055	255	255
1056	10	5
1057	255	255
1058	37	33
1059	255	255
1060	255	255
1061	255	255
1062	42	6
1063	255	255
1064	255	255
1065	18	13
1066	255	255
1067	40	32
1068	255	255
1069	255	255
1070	255	255
1071	255	255
1072	255	255
1073	33	14
1074	255	255
1075	255	255
1076	43	32
1077	41	19
1078	255	255
1079	255	255
1080	255	255
1081	255	255
1082	255	255
